"","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","age"
"ACT666","0","0","0","0","0","0","0","N","0","0","0","0","0","0","0","0",1
"ACT667","0","0","0","0","0","0","0","N","0","0","0","0","0","0","0","0",1
"ACT668","0","0","0","0","0","0","0","N","E","E","N","0","0","0","0","0",1
"ACT669","0","0","0","0","0","0","0","N","0","0","0","0","0","0","0","0",1
"ACT670","0","0","0","0","0","0","0","N","E","N","N","B1","LB_","LB_","LB","LB",1
"ACT671","0","0","0","0","0","0","0","N","0","0","0","0","0","0","0","0",1
"ACT672","0","0","0","0","0","0","0","N","E","N","N","B1","LB_","LB","L_B","LB",1
"ACT673","0","0","0","0","0","0","0","N","E","N","N","B1","L_B","LB","0","0",1
"ACT674","0","0","0","0","0","0","0","N","E","E","N","0","0","0","0","0",1
"ACT675","0","0","0","0","0","0","0","N","0","0","0","0","0","0","0","0",1
"ACT676","0","0","0","0","0","0","0","N","E","E","N","B1","LB","L_B","LB","L_B",1
"ACT677","0","0","0","0","0","0","0","N","0","0","0","0","0","0","0","0",1
"ACT678","0","0","0","0","0","0","0","N","E","E","N","B1","LB","L_B","LB","LB_",1
"ACT679","0","0","0","0","0","0","0","N","0","0","0","0","0","0","0","0",1
"ACT680","0","0","0","0","0","0","0","N","E","E","N","0","0","0","0","0",1
"ACT760","0","0","0","0","0","0","0","N","E","N","0","0","0","0","0","0",1
"ACT773","0","0","0","0","0","0","0","N","E","E","E","N","0","0","0","0",1
"ACT778","0","0","0","0","0","0","0","N","E","E","N","N","N","0","0","0",1
"ACT779","0","0","0","0","0","0","0","N","E","N","E","E","E","N","N","B1",1
"ACT933","0","0","0","0","0","0","0","N","E","E","N","N","N","B1","L_B","LB",1
"ACT938","0","0","0","0","0","0","0","N","E","E","E","E","N","N","0","0",1
"ACT939","0","0","0","0","0","0","0","N","E","E","E","N","0","0","0","0",1
"ACT950","0","0","0","0","0","0","0","N","E","N","N","0","0","0","0","0",1
